"street","hondius_1612","berckenrode_1625","ram_1692","loman_1876","pw_1909","pw_1943","pw_1985"
"https://adamlink.nl/geo/street/goudevoetsgang/6696",,,,"yes",,,
"https://adamlink.nl/geo/street/goudsbloemgang/6290",,,,"yes","no",,
"https://adamlink.nl/geo/street/goudsbloemstraat/1537",,"yes","yes",,,,
"https://adamlink.nl/geo/street/goudsblom-steeg/5660",,"yes","yes",,,,
"https://adamlink.nl/geo/street/goudslagersgang/7873",,,,"yes",,,
"https://adamlink.nl/geo/street/gouwenaarssteeg/1538",,"yes","yes",,,,
"https://adamlink.nl/geo/street/graaf-van-emdergang/6723",,,,"yes",,,
"https://adamlink.nl/geo/street/graatboogsgang/6100",,,,"yes",,,
"https://adamlink.nl/geo/street/grauwepoort/7875",,,,"yes",,,
"https://adamlink.nl/geo/street/grauwmonnikenklooster/7876",,,,"yes",,,
"https://adamlink.nl/geo/street/gravenstraat/1553",,"yes","yes",,,,
"https://adamlink.nl/geo/street/grimnessersluis/5701",,"yes","yes",,,,
"https://adamlink.nl/geo/street/groenburgwal/1564","yes","yes",,,,,
"https://adamlink.nl/geo/street/groenekaarssteeg/7021",,"yes",,,,,
"https://adamlink.nl/geo/street/groeneliestegang/7877",,,,"yes",,,
"https://adamlink.nl/geo/street/groenengang/6820",,,,"yes","no",,
"https://adamlink.nl/geo/street/groot-hemelrijk/6948",,"yes","yes",,,,
"https://adamlink.nl/geo/street/grote-bickersstraat/1590",,,"yes",,,,
"https://adamlink.nl/geo/street/grote-houtstraat/5670",,,"yes",,,,
"https://adamlink.nl/geo/street/grote-kattenburgerstraat/6954",,,"yes",,,,
"https://adamlink.nl/geo/street/grote-wittenburgerstraat/1596",,,"yes",,,,
"https://adamlink.nl/geo/street/gruttersgang/6104",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/gruttersgang/6800",,,,"yes",,,
"https://adamlink.nl/geo/street/gruttersgang/6845",,,,"yes",,,
"https://adamlink.nl/geo/street/gruttersgang/6859",,,,"yes",,,
"https://adamlink.nl/geo/street/gruttersgang/6905",,,,"yes","no",,
"https://adamlink.nl/geo/street/gruttersgang/7878",,,,"yes",,,
"https://adamlink.nl/geo/street/gruttersgang/7879",,,,"yes",,,
"https://adamlink.nl/geo/street/gruttersgang/7880",,,,"yes",,,
"https://adamlink.nl/geo/street/guldehandsteeg/1603",,"yes","yes","yes",,,
"https://adamlink.nl/geo/street/haagse-veer/7048",,"yes",,,,,
"https://adamlink.nl/geo/street/haarlemmerdijk/1626","yes","yes","yes",,,,
"https://adamlink.nl/geo/street/haarlemmerstraat/1629","yes","yes","yes",,,,
"https://adamlink.nl/geo/street/hakenmakersgang/7881",,,,"yes",,,
"https://adamlink.nl/geo/street/halvemaansteeg/1644",,"yes","yes",,,,
"https://adamlink.nl/geo/street/hameeterssteeghje/5649",,"yes","yes",,,,
"https://adamlink.nl/geo/street/hammegang/6849",,,,"yes",,,
"https://adamlink.nl/geo/street/handboogstraat/1653",,,"yes",,,,
"https://adamlink.nl/geo/street/hanemattengang/6112",,,,"yes",,,
"https://adamlink.nl/geo/street/hardebollengang/7883",,,,"yes",,,
"https://adamlink.nl/geo/street/haringgang/7884",,,,"yes",,,
"https://adamlink.nl/geo/street/haringpakkerij/5676","yes","yes",,,,,
"https://adamlink.nl/geo/street/haringpakkerssteeg/1666",,"yes","yes",,,,
"https://adamlink.nl/geo/street/harmen-kostersgang/6735",,,,"yes",,"yes","no"
"https://adamlink.nl/geo/street/hartenstraat/1676",,"yes","yes",,,,
"https://adamlink.nl/geo/street/hartjesgang/7885",,,,"yes",,,
"https://adamlink.nl/geo/street/hartshoorngang/6113",,,,"yes",,,
"https://adamlink.nl/geo/street/hasselaerssteeg/1679",,"yes","yes",,,,
"https://adamlink.nl/geo/street/haverkampgang/6738",,,,"yes",,,
"https://adamlink.nl/geo/street/hazenstraat/1693",,,"yes",,,,
"https://adamlink.nl/geo/street/heilige-weg/6992","yes","yes",,,,,
"https://adamlink.nl/geo/street/heiligeweg/1705",,"yes","yes",,,,
"https://adamlink.nl/geo/street/heiligewegspoort/6126",,"yes",,,,,
"https://adamlink.nl/geo/street/heiligewegssluis/6127",,"yes",,,,,
"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",,"yes","yes",,,,
"https://adamlink.nl/geo/street/heisteeg/1710",,"yes","yes",,,,
"https://adamlink.nl/geo/street/helmengang/7887",,,,"yes",,,
"https://adamlink.nl/geo/street/herengracht/1768",,"yes",,,,,
"https://adamlink.nl/geo/street/herenmarkt/1769",,"yes",,,,,
"https://adamlink.nl/geo/street/herenstraat/1770",,"yes","yes",,,,
"https://adamlink.nl/geo/street/hermietenstraat/1785",,"yes","yes",,,,
"https://adamlink.nl/geo/street/hoedengang/7888",,,,"yes",,,
"https://adamlink.nl/geo/street/hoedenmakersgang/6116",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/hoedenmakersgang/6851",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/hoedenmakersgang/7889",,,,"yes",,,
"https://adamlink.nl/geo/street/hoedenmakersgang/7890",,,,"yes",,,
"https://adamlink.nl/geo/street/hoedenmakersgang/7891",,,,"yes",,,
