"street","straatnaam","minbouwjaar"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001274","Charlotte Cooperpad","1995"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004699","Oetewalerpad","1956"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002650","Adriaan Loosjesstraat","1958"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001544","Adamello","1996"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004814","Passeerdersstraat","1900"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003346","Hartenstraat","1900"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004987","Sparrenweg","1939"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002899","Frans Duwaerstraat","1953"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005547","Dynamostraat","1974"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003330","Halvemaansteeg","1718"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004574","President Steynstraat","1925"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004234","Maanstraat","1921"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002692","Amaliastraat","1904"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300011951195","Maagdenpalmstraat","2015"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001081","Hildsven","1992"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005813","Jacob Krüsestraat","1986"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002793","Edammerpad","1927"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004786","Overvoorde","1962"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001343","Ortler","1995"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000006015","Kweekhoven","2007"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002185","Isaäc Asscherpad","1956"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001140","Printerstraat","2000"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300003767129","Narva-eiland","2016"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003053","Burgemeester Hogguerstraat","1965"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001151","Tuimelaarstraat","1993"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001143","Wittgensteinlaan","1991"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003518","Jollenpad","1971"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003648","J.H. van Heekweg","1975"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005024","Staalkade","1905"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003374","Hemsterhuisstraat","1956"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004353","Peter van Anrooystraat","1957"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001444","J.F. van Hengelstraat","1997"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000006029","Kea Boumanstraat","2012"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004117","Laing's Nekstraat","1910"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003685","Geert Grootestraat","1954"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000006064","Dollardpad","2009"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003309","Driehoekstraat","1900"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005626","Zomerstraat","1960"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002084","Krulslaplantsoen","2005"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003004","Bouvigne","1959"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000000949","Doblijn","2005"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000000984","Hardwareweg","2001"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300011951268","Schielandplein","2016"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003987","Kennemerduinstraat","1964"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005544","Kollenbergweg","1900"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005917","Ken Saro-Wiwastraat","2004"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004964","Sneeuwbalstraat","1925"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002677","Aldebaranplein","1922"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003502","Johannapark","1878"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005026","Staalstraat","1905"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000006081","Hendrikje Stoffelsstraat","1989"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002859","F.C. Dondersstraat","1950"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003914","Nieuwe Looiersstraat","1886"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003448","Jan van Boendalestraat","1954"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001045","De Lierhof","2000"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004031","Koningin Wilhelminaplein","1900"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300011951407","Limmenstraat","2016"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004365","Piet Mondriaanstraat","1959"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003180","Da Costaplein","1904"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002886","Floris Versterstraat","1931"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003164","Courbetstraat","1932"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002799","Eemsstraat","1934"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004860","Westwouderstraat","1926"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004474","Scheepmakerskade","1982"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001315","Topkapipad","1996"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300011004865","Muiderlaan","2010"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003692","Genhoes","1959"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004471","Schapenburgerpad","1872"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005588","Zwaardemakerstraat","1952"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005885","Hendrik Werkmanstraat","2008"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003730","Goudsbloemstraat","1905"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003362","Heintje Hoekssteeg","1905"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002559","Eerste Schinkelstraat","1884"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005025","Staalmeesterslaan","1972"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004969","Socratesstraat","1954"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001553","Maliebaan","1991"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003957","Kapteynstraat","1950"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004531","Slatuinenweg","1912"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001675","Tom Schreursweg","1923"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002436","Valkkoogstraat","2006"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004328","Middelhoffstraat","1948"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002426","Emanzana","2007"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001250","Willem Bouwhuispad","1990"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005892","Ben van Meerendonkstraat","2006"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004168","Lex Althoffstraat","1953"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001983","Jan van Zutphenstraat","2000"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001529","Klaas Wannen","1993"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003015","Brandts Buysstraat","1954"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005773","Geldershoofd","1971"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300011951229","Eksteenfontein","2015"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004306","Menadostraat","1926"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002987","Borneokade","1933"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001722","Platenwagenweg","1989"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005778","Spitsbergenstraat","1900"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004422","Rousseaustraat","1957"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003783","Haarlemmerstraat","1617"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002688","Allard Piersonstraat","1900"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004293","Meer en Vaart","1900"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003016","Brede Kerkepad","1849"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002520","Berkhouthof","1950"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002637","Achtergracht","1723"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004504","Schubertstraat","1929"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003276","Distelkade","1918"
